"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C02_001E","S1901_C02_001M","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C01_002E","S1901_C01_002M","S1901_C02_002E","S1901_C02_002M","S1901_C03_002E","S1901_C03_002M","S1901_C04_002E","S1901_C04_002M","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C03_003E","S1901_C03_003M","S1901_C04_003E","S1901_C04_003M","S1901_C01_004E","S1901_C01_004M","S1901_C02_004E","S1901_C02_004M","S1901_C03_004E","S1901_C03_004M","S1901_C04_004E","S1901_C04_004M","S1901_C01_005E","S1901_C01_005M","S1901_C02_005E","S1901_C02_005M","S1901_C03_005E","S1901_C03_005M","S1901_C04_005E","S1901_C04_005M","S1901_C01_006E","S1901_C01_006M","S1901_C02_006E","S1901_C02_006M","S1901_C03_006E","S1901_C03_006M","S1901_C04_006E","S1901_C04_006M","S1901_C01_007E","S1901_C01_007M","S1901_C02_007E","S1901_C02_007M","S1901_C03_007E","S1901_C03_007M","S1901_C04_007E","S1901_C04_007M","S1901_C01_008E","S1901_C01_008M","S1901_C02_008E","S1901_C02_008M","S1901_C03_008E","S1901_C03_008M","S1901_C04_008E","S1901_C04_008M","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010E","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C01_011E","S1901_C01_011M","S1901_C02_011E","S1901_C02_011M","S1901_C03_011E","S1901_C03_011M","S1901_C04_011E","S1901_C04_011M","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C03_012E","S1901_C03_012M","S1901_C04_012E","S1901_C04_012M","S1901_C01_013E","S1901_C01_013M","S1901_C02_013E","S1901_C02_013M","S1901_C03_013E","S1901_C03_013M","S1901_C04_013E","S1901_C04_013M","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C04_014M","S1901_C01_015E","S1901_C01_015M","S1901_C02_015E","S1901_C02_015M","S1901_C03_015E","S1901_C03_015M","S1901_C04_015E","S1901_C04_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US01117","Shelby County, Alabama","80944","1588","55341","2373","47386","2414","25603","2419","5.0","1.4","2.4","1.0","1.6","0.9","10.7","3.5","3.8","1.3","1.6","0.9","0.7","0.7","8.6","3.2","6.6","1.3","3.2","1.3","2.2","1.2","14.2","3.5","6.3","1.5","4.4","1.5","3.7","1.5","10.6","3.4","13.1","1.8","10.6","2.1","9.8","2.4","18.0","3.8","16.6","2.0","17.4","2.5","15.8","2.6","16.3","3.2","11.9","1.9","14.0","2.6","14.2","3.0","7.0","2.0","21.2","2.5","26.7","3.3","29.2","3.7","8.7","3.2","7.1","1.1","9.4","1.5","10.7","1.8","1.8","1.3","8.4","1.6","10.3","1.9","11.9","2.2","4.0","2.3","71230","6349","92478","5463","101771","5318","39032","4751","96481","5753","114819","7459","N","N","55833","6641","30.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.6","(X)"
"0500000US01121","Talladega County, Alabama","31219","1460","21701","1748","N","N","9518","1575","12.5","3.2","9.5","3.6","N","N","22.6","6.6","7.5","2.6","2.4","1.9","N","N","19.0","5.7","13.9","3.6","11.3","4.1","N","N","17.9","6.4","9.8","2.7","10.6","3.0","N","N","7.6","4.2","13.4","3.7","14.9","4.1","N","N","11.9","6.7","17.7","4.0","19.3","5.0","N","N","13.8","6.1","10.5","2.8","12.6","3.8","N","N","3.9","2.7","9.5","2.4","12.8","3.3","N","N","2.0","2.4","3.0","1.5","4.2","2.0","N","N","0.0","1.7","2.1","1.4","2.4","1.9","N","N","1.4","1.7","40315","3166","52637","9926","67992","10140","18921","2713","58110","7541","65753","7437","N","N","38674","15759","34.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.4","(X)"
"0500000US01125","Tuscaloosa County, Alabama","74053","2334","48006","2911","34053","2537","26047","2441","10.4","2.0","4.9","2.1","1.5","1.0","20.7","4.1","5.1","1.5","2.2","1.2","0.4","0.4","11.5","3.7","9.2","1.8","7.2","1.9","4.4","1.5","13.3","3.4","9.5","2.2","8.9","2.8","5.7","2.4","11.8","3.4","12.0","2.2","11.2","2.6","9.3","2.7","14.8","3.8","17.6","1.9","18.7","3.3","19.3","3.9","16.8","3.5","13.1","2.2","17.1","2.9","21.0","3.8","3.2","1.7","15.1","2.4","19.0","3.0","23.6","3.7","6.0","2.7","3.8","1.1","5.3","1.6","7.1","2.2","0.8","0.7","4.1","1.2","5.7","1.7","7.8","2.4","1.0","0.7","54459","4961","70370","4613","82399","5387","28261","3285","71000","4496","85573","6343","N","N","40045","4295","42.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","43.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.2","(X)"
"0500000US04021","Pinal County, Arizona","147936","3458","109641","4006","85289","4103","38295","2986","5.7","1.1","3.8","1.0","1.7","0.7","13.7","3.3","2.2","0.6","1.3","0.6","1.1","0.7","4.5","1.6","8.8","1.4","6.3","1.4","4.9","1.4","16.9","3.3","10.6","1.5","9.6","1.8","8.2","1.7","15.9","3.3","13.3","1.4","12.7","1.6","12.2","1.8","14.4","3.0","23.3","2.1","25.8","2.4","25.6","2.5","17.1","3.3","15.5","1.6","16.4","2.1","18.2","2.3","10.1","2.6","14.3","1.5","16.2","2.0","18.8","2.4","5.9","2.2","3.8","0.9","4.6","1.1","5.6","1.4","1.0","1.0","2.5","0.6","3.2","0.8","3.8","1.0","0.6","0.4","59058","2065","64161","2506","70685","4003","34011","5123","69864","2175","75921","2797","83154","3010","46837","4785","41.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","42.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.5","(X)"
"0500000US06045","Mendocino County, California","33794","1416","21433","1676","N","N","12361","1547","4.3","1.8","4.1","2.4","N","N","6.0","3.3","7.4","3.0","2.9","2.0","N","N","14.2","6.1","11.1","2.8","9.2","3.6","N","N","16.3","4.9","10.5","2.7","6.7","2.5","N","N","17.4","5.6","14.8","3.3","15.2","4.1","N","N","13.5","5.5","21.4","3.4","23.4","4.9","N","N","19.3","5.6","11.0","2.8","12.6","3.8","N","N","6.5","2.9","12.1","3.2","16.1","4.6","N","N","4.3","2.7","3.7","1.6","4.7","2.2","N","N","1.3","1.6","3.7","1.7","5.1","2.5","N","N","1.1","1.4","51830","4580","63009","6933","76146","8341","31598","5451","66691","5246","78467","7469","N","N","42702","5418","40.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","40.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.7","(X)"
"0500000US06059","Orange County, California","1040394","5391","735186","7275","560541","8769","305208","7205","4.5","0.4","3.0","0.4","1.7","0.3","9.3","1.1","2.8","0.3","1.7","0.3","1.2","0.3","5.8","0.8","5.7","0.4","4.6","0.4","3.2","0.3","9.8","1.0","5.8","0.4","5.2","0.4","3.9","0.4","8.2","0.8","8.8","0.4","8.1","0.4","6.6","0.5","11.3","0.9","14.7","0.6","13.8","0.7","12.5","0.8","16.5","1.1","12.5","0.4","12.3","0.6","11.9","0.6","12.7","0.9","18.5","0.6","20.2","0.8","21.6","0.9","13.8","1.2","11.4","0.5","13.2","0.6","15.4","0.8","6.0","0.8","15.3","0.5","18.1","0.6","22.1","0.8","6.6","0.6","89759","1823","102047","1350","119505","2301","56926","1733","122301","2144","135550","2482","152524","3211","81730","3228","41.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","42.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.0","(X)"
"0500000US06067","Sacramento County, California","543560","3122","359266","6923","251752","6174","184294","6612","5.3","0.5","3.8","0.6","1.7","0.4","9.3","1.1","4.2","0.5","2.0","0.4","1.1","0.3","9.1","1.0","8.2","0.6","6.6","0.7","5.0","0.7","12.3","1.3","7.4","0.6","6.8","0.7","4.8","0.7","9.2","1.0","11.4","0.8","10.2","0.9","9.1","1.2","13.1","1.5","17.0","0.8","16.7","1.0","15.1","1.1","18.0","1.3","13.4","0.7","14.5","1.0","14.7","1.2","10.5","1.1","17.3","0.8","19.7","0.9","23.3","1.4","11.8","1.1","8.7","0.6","10.7","0.8","13.5","1.1","3.9","0.8","7.1","0.5","8.9","0.8","11.5","1.0","2.9","0.6","69767","1676","81058","1494","97342","3030","46855","1986","89707","1969","100958","2749","115795","2808","63130","2568","32.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.9","(X)"
"0500000US12017","Citrus County, Florida","62293","2908","36112","2836","N","N","26181","2436","9.1","2.3","6.5","2.9","N","N","14.7","3.7","5.9","1.6","1.9","0.9","N","N","11.5","3.6","14.6","2.8","8.6","3.1","N","N","21.8","5.1","13.9","2.6","12.5","2.8","N","N","17.1","4.7","18.6","2.9","18.7","4.2","N","N","18.0","4.5","19.1","2.1","26.0","3.5","N","N","8.9","2.7","6.1","1.5","7.7","2.1","N","N","2.9","1.6","7.9","1.9","11.5","3.0","N","N","3.2","2.2","2.8","1.1","3.4","1.8","N","N","1.4","1.0","2.1","1.1","3.2","1.8","N","N","0.5","0.6","39964","4030","51557","4560","53543","4467","26045","2882","56965","7617","72022","12527","N","N","34564","3778","36.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.5","(X)"
"0500000US17143","Peoria County, Illinois","71506","1717","42810","2266","31078","2107","28696","2159","9.3","1.6","3.9","1.2","0.6","0.5","17.5","4.1","4.4","1.2","3.3","1.6","1.3","1.1","6.8","2.3","10.4","1.7","6.2","1.5","2.6","1.2","17.5","3.6","8.6","1.5","7.0","1.9","4.6","1.7","11.2","2.8","11.9","1.7","11.1","2.1","9.2","2.0","13.8","3.1","20.3","1.9","20.9","2.7","22.1","3.1","19.4","3.9","12.5","1.7","15.6","2.3","18.5","3.0","6.8","2.3","12.4","1.9","16.6","2.7","20.6","3.2","5.2","2.0","5.4","1.2","7.6","1.8","10.1","2.4","1.1","0.7","4.8","1.0","7.7","1.8","10.3","2.4","0.6","0.6","56138","3576","72677","3494","86802","8349","31464","3780","76932","5050","98657","7854","N","N","41374","3617","30.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.0","(X)"
